Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central Europe and the Baltics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.223741451,10.10728479,11.53852163,11.38172734,10.84923785,10.19566337,9.163334201,8.953731221,10.38920821,12.44151312,13.22563673,13.73507891,12.9536503,12.93282389,12.05850844,10.10273836,7.808382108,6.607053627,8.489097441,9.901312244,9.788592425,9.978571433,10.04961816,8.953335183,7.820802103,6.490935952,5.29781663,4.316469158,3.780900505,4.370732417,4.484102608,3.849528062
Switzerland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,2.81,3.55,3.58,3.09,3.68,4.13,3.57,3.05,2.66,2.49,2.92,4.12,4.32,4.44,3.99,3.64,3.35,4.11,4.81,4.41,4.49,4.75,4.83,4.8,4.92,4.8,4.71,4.39,4.82,5.1,4.202
Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.207,6.66,7.653,7.848,7.574,7.509,7.281,6.831,6.484,5.896,5.545,5.83,6.178,6.375,6.307,5.999,5.677,5.75,7.177,7.551,7.789,8.618,9.212,8.996,8.596,8.118,7.505,6.932,6.777,7.811,7.553,6.916
Chile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,4.35,4.49,5.87,4.7,7.41,7.14,7.31,11.16,10.49,10.39,10.17,9.77,10.16,9.34,9.02,8.43,9.29,11.31,8.41,7.32,6.64,6.2,6.65,6.49,6.73,6.95,7.21,7.27,11.14,9.35,7.784
China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,2.37,2.69,2.9,3,3.12,3.23,3.24,3.25,3.26,3.8,4.24,4.58,4.49,4.52,4.43,4.35,4.59,4.72,4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5,4.55,4.886
Cote d'Ivoire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.608,6.7,5.859,5.005,4.1,4.084,4.055,4.1,4.358,4.602,4.854,5.092,5.349,5.473,5.73,5.932,6.185,6.356,6.602,6.776,7.215,7.22,4.25,3.475,2.697,1.9,3.27,2.835,2.4,2.66,2.817,2.637
Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.656,7.751,7.975,7.871,7.968,8.06,7.934,7.81,7.696,7.591,7.46,6.689,5.903,5.111,4.4,3.724,3.06,3.418,3.766,4.11,3.967,3.817,3.675,3.53,3.546,3.572,3.598,3.609,3.629,3.947,4.122,4.001
"Congo, Dem. Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04,3.043,3.05,2.993,2.962,2.964,2.98,2.953,2.957,2.961,2.928,2.895,2.873,2.857,2.85,3.087,3.316,3.551,3.807,4.017,4.254,4.49,4.468,4.449,4.457,4.479,4.459,4.434,4.436,5.127,5.112,4.987
"Congo, Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.331,20.299,20.327,20.368,20.191,20.156,20.205,20.108,20.174,19.981,20.002,19.958,19.981,19.903,19.8,19.847,20.122,19.975,19.943,20.019,20.19,20.122,20.34,20.274,20.485,20.648,20.592,20.644,20.612,22.517,22.235,21.795
Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.12,9.44,7.8,8.25,8.72,11.81,12.14,15,20.06,20.52,15.04,15.63,14.19,13.72,11.87,10.963,10.25,10.52,11.32,10.98,10.11,9.74,9.05,8.57,8.3,8.69,8.87,9.11,9.96,15.04,13.9,10.726
